character,translation
曲,song
案,case
投,cast
稳,stable
敝,our
描,describe
畜,livestock
款,payment
窒,suffocate
矮,short
卵,egg
蹿,jump up
隐,hidden
盔,helmet
爽,Cool
传,pass
喏,here
舵,rudder
益,beneficial
爱,Love
远,Far
择,select
澪,Mio
划,Draw
瓢,ladle
侣,companion
思,think
齿,tooth
粑,cake
抿,sip
枯,withered
琼,Joan
鲨,shark
握,grip
肤,skin
嚏,sneeze
褶,pleats
刻,carve
纺,spin
秃,bald
痕,mark
博,Bo
镬,wok
泊,moor
娱,entertainment
染,dye
掸,dust off
蛰,sting
囔,groan
谣,rumor
烦,bother
楷,regular script
额,Forehead
咸,salty
柩,bier
瘫,paralyzed
葱,onion
窥,peep
枕,pillow
锚,anchor
录,record
墓,tomb
芋,taro
囚,Prisoners
疆,frontier
镇,town
吝,stingy
卜,predict
椿,Tsubaki
鹿,deer
哆,duo
胜,win
评,comment
捆,bundle
拧,screw
柄,handle
焊,weld
另,Other
市,city
勾,hook
踹,kick
轨,rail
旬,ten days
穆,Mu
尝,taste
乒,ping
损,damage
蚀,eclipse
云,cloud
钟,bell
搏,fight
琐,petty
肚,tripe
瑟,se
洼,depression
奈,Chennai
弈,game
幸,fortunate
牵,hold
灸,Moxibustion
姻,marriage
导,guide
吧,Bar
陌,street
质,quality
答,answer
嫂,sister-in-law
逻,logic
甭,Say nothing
削,cut
腱,tendon
男,male
蔡,Tsai
承,bear
擒,capture
哀,sorrow
诧,surprised
关,close
莹,Ying
牙,tooth
弛,relax
哗,Wow
破,break
流,flow
姊,Sister
驽,dull
搅,stir
珂,Ke
畅,smooth
帽,cap
胚,Embryo
翅,wing
峡,gorge
裴,Bae
泰,Thai
舀,scoop
致,To
啸,whistling
炒,saute
溺,drown
屠,Butcher
镖,dart
扦,stick in
面,noodle
愧,ashamed
颠,upside down
捎,take along
崩,collapse
卖,Sell
萌,cute
凄,sad
欣,enjoy
薏,Job's tears
町,town
汕,Shantou
妮,Ni
翼,wing
衿,lapel
副,vice
多,many
困,Sleepy
骄,arrogant
胀,swelling
措,measures
济,economy
营,camp
会,meeting
朽,rotten
殖,breed
俭,frugal
懵,stupid
汞,HG
琪,Qi
空,null
革,leather
乍,first
秒,second
闸,brake
妳,you
昧,Ambiguous
炬,torch
绳,rope
掺,mix
韦,Wei
缕,thread
么,What?
引,lead
暮,twilight
茧,cocoon
嚼,chew
还,return
缅,Myanmar
陨,fall from the sky
邓,Deng
斯,Si
卯,Mao
陵,mausoleum
咏,chant
腓,Phillips
援,aid
肿,swell
溪,creek
础,foundation
鞍,saddle
宁,rather
浜,bang
吵,Quarrel
庚,Geng
干,Dry
呃,Uh
日,day
山,Mountain
奸,evil
栋,Building
沓,again and again
祥,auspicious
丹,Dan
疡,ulcer
剪,Cut
畔,by the side
卞,Bian
赦,amnesty
跷,seesaw
乘,take
翔,Xiang
蝎,scorpion
霉,mold
漠,desert
相,Mutually
站,stand
玺,Xi
括,include
妇,woman
沾,stick
憋,hold back
型,type
珞,Luo
鱿,squid
嵌,embedded
叔,uncle
斟,to pour
骸,skeleton
憾,regret
淌,drip
安,install
剐,cut
蹦,jump
妓,prostitute
自,since
烬,ember
凋,withered
镜,mirror
晨,morning
丢,leave
祛,remove
帕,Pa
痛,pain
窠,nest
亲,Dear
颤,trembling
防,Defend
枫,maple
秀,show
厢,box
戎,Rong
衫,shirt
幡,banner
预,in advance
糜,Mi
钮,button
左,left
潮,tide
于,At
促,promote
孚,Fu
嗙,snort
史,history
滕,Teng
书,Book
归,return
衍,Derived
欸,Eh
转,change
剧,drama
敲,knock
成,to make
粉,pink
嗄,Ah
擤,blow
噘,pout
晚,Night
睾,Testosterone
李,plum
榛,hazel
耽,delay
妄,delusional
攥,grip
箩,the basket
据,according to
走,Walk
烛,candle
待,treat
袄,jacket
赋,give
林,Forest
止,end
肴,meat dish
肝,liver
僧,monk
茫,vast
靥,dimple
郎,Lang
缓,slow
启,start
昱,Yu
搀,mix
街,street
类,kind
仔,young
劝,advise
加,add
虹,rainbow
补,repair
矿,mine
纨,white silk
泷,Taki
剑,sword
坡,slope
馊,rancid
脾,spleen
跨,across
栈,the stack
栗,chestnut
恢,restore
糗,embarrassment
铁,iron
绕,around
次,Second-rate
坪,Ping
勇,brave
淮,Huai
秽,dirty
雇,hire
鼓,drum
炖,stew
工,work
狗,dog
村,village
撞,Collide
瘪,deflated
眸,eye
银,silver
骆,Luo
载,load
刑,punishment
灯,lamp
彰,show off
籽,seed
嗒,despair
噩,startling
晖,Fai
求,beg
拴,tied
集,set
地,land
贷,loan
肘,elbow
阎,Yan
育,education
默,silent
宋,song
卷,roll
象,elephant
列,List
潜,latent
琢,cut
翱,soar
代,generation
咂,suck
道,road
审,trial
隋,sui
县,county
拇,thumb
备,prepare
裔,descent
桨,paddle
烫,hot
蕴,Yun
堡,fort
吞,swallow
壳,shell
趁,take advantage of
黄,yellow
醉,drunk
饱,full
岗,Hill
万,Ten thousand
嗲,whine
竭,exhaust
朝,towards
蓄,save
途,way
九,Nine
皆,all
嫌,dislike
鉴,learn from
螺,screw
胁,threat
鼠,mouse
只,Only
邑,Yap
烩,braise
孩,child
期,Expect
璐,Lu
旗,flag
透,through
靴,boots
庞,Pang
战,war
挠,scratch
屑,crumbs
夜,night
姚,Yao
羞,shame
痨,tuberculosis
屹,Yi
瘦,thin
办,manage
佳,good
织,to weave
扶,help
丰,rich
倍,times
诉,v.
蜕,slough
蔑,smear
泼,splash
咀,Tsui
璜,Juan
毗,adjoin
呜,Woo
统,system
苦,bitter
沥,Leak
颊,cheek
您,you
利,profit
惟,but
摇,shake
猎,hunting
儒,Confucianism
放,put
概,roughly
荷,charge
锹,shovel
到,arrive
恙,ailment
缴,pay
薄,Thin
卸,unload
奄,suddenly
涌,Chung
巨,huge
短,short
杵,pestle
氏,Shi
梯,ladder
龚,gong
习,habit
嗽,cough
呓,Raving
废,waste
褐,brown
度,Spend
肾,kidney
国,country
弥,Mi
穴,hole
葬,burial
隶,scribe
汽,steam
谏,admonish
盯,stare
领,collar
冻,freeze
雄,male
激,exciting
诀,tactic
撤,withdraw
举,raise
槌,hammer
礼,present
才,talent
腔,Cavity
系,Tie
怪,Strange
眉,eyebrow
迦,Jia
棕,brown
刷,brush
罄,exhausted
嚣,clamor
显,show
的,of
罐,Can
换,Change
独,alone
娴,Xian
灭,off
凭,by
钓,to fish
弟,younger brother
脑,brain
彩,color
烙,burn
蛊,insanity
呦,Yo
淫,kinky
脖,neck
稀,dilute
怡,Yee
汗,sweat
拒,refuse
柬,Cambodia
斡,turn
齐,together
峙,stand up
咪,mum
刀,Knife
搂,hug
逸,Yat
驯,tame
莲,lotus
雁,wild goose
驴,donkey
丸,pill
妹,sister
首,head
泾,Jing
咨,consult
啥,What
厨,kitchen
本,Book
樘,樘
沏,steep
莫,mo
密,dense
宠,pet
剔,tick
写,Write
毕,complete
父,father
祷,prayer
驹,foal
绣,embroidered
零,zero
层,Floor
绮,Qi
霓,Neon
绚,Brilliant
喉,throat
拘,arrest
柏,cypress
贡,tribute
妾,concubine
吕,Lu
渐,gradually
渡,to cross
束,bundle
秋,Autumn
失,lose
秘,secret
姓,surname
恤,shirt
撬,pry
啊,what
早,morning
罗,Luo
木,Wood
恬,Tian
仪,instrument
免,waived
羁,restrain
灶,kitchen
力,force
清,clear
味,taste
佘,she
碴,ballast
粕,Meal
板,plate
汁,juice
病,sick
献,offer
筑,build
仗,battle
奢,extravagant
懒,lazy
船,ferry
贬,derogatory
岳,the mountain
鸾,luan
藜,quinoa
吃,eat
顺,Shun
楚,Chu
揪,pull
颁,awarded
遁,escape
坐,sit
嗓,voice
互,mutual
蛀,termite
弯,bend
腿,leg
拆,dismantle
菁,Jing
厅,hall
故,so
敌,enemy
招,trick
乳,milk
旱,drought
蟾,toad
喂,Hey
赔,pay
喧,noise
线,Wire
俚,slang
这,This
惦,miss
孬,Nah
椒,pepper
钳,clamp
值,value
绍,introduce
追,Chase
伊,i
廉,inexpensive
琵,lute
讨,discuss
伦,Lun
腮,cheek
悯,pity
肩,shoulder
示,Show
肮,dirty
澄,clear
砸,hit
埋,to bury
莴,lettuce
森,Forest
屏,Screen
规,regulation
肱,brachial
粪,manure
缩,shrink
置,place
唱,Sing
硼,boron
肢,limb
犯,commit
芯,core
脆,crisp
诺,promise
殊,special
碘,iodine
柜,cabinet
镶,set
飙,soar
硕,large
兆,trillion
事,thing
呐,Na
泛,pan-
铃,bell
绝,absolutely
幂,power
轩,Xuan
草,Grass
朱,Zhu
夷,Yi
蜡,wax
牠,it
掰,Break off
椎,Vertebral
弦,string
勃,Bob
讯,News
题,question
邬,Wu
俗,vulgar
舞,dance
骂,scold
冰,ice
睿,Rui
至,to
侬,Lennon
享,Enjoy
擎,engine
斑,spot
聘,hire
搁,put
鼎,tripod
笺,note
沼,swamp
鸦,crow
训,training
务,service
该,Should
貌,appearance
隙,gap
孰,what
蒙,Mongolian
及,and
蚁,ant
叹,sigh
熙,hee
释,release
狒,hamadryad
祯,Zhen
跌,fall
双,pair
函,letter
叭,Bat
终,end
坤,kun
粹,pure
占,Take up
搭,take
陈,List
菲,Philippines
饶,Rao
痧,Sha
抚,caress
棺,coffin
愚,stupid
涯,Career
稍,a little
衩,panties
蔗,sugarcane
边,side
汉,Chinese
莎,salsa
施,apply
羹,soup
糠,bran
弹,bomb
简,simple
喊,call
役,service
壹,one
囧,Oops
歼,Annihilating
笑,laugh
常,often
邪,evil
调,tone
痂,scab
企,enterprise
配,match
京,Beijing
听,listen
揽,embrace
铎,tudor
觅,seek
唤,call
唾,saliva
尺,ruler
操,Hold
湄,mae
汇,exchange
倏,suddenly
挡,block
爪,claw
段,part
拷,copy
眠,sleep
谙,familiar with
鞋,shoe
荻,hagi
删,delete
疚,guilt
午,noon
卿,Qing
淇,Qi
濒,near
匹,match
黛,Dai
累,tired
怨,blame
蔓,vine
喽,myself
豚,dolphin
梨,pear
爆,burst
循,Follow
迫,force
咒,curse
邮,mail
不,Do not
亘,through
三,three
侠,chivalrous
棍,stick
耸,towering
咖,coffee
痞,swelling of the liver
砌,to build
嫖,visit a prostitute
瑜,yoga
笋,bamboo shoots
傻,Silly
偎,cuddle
熨,to iron
血,Blood
贰,two
橙,orange
戳,stamp
蒜,garlic
瞿,Qu
兮,Xi
浪,wave
吊,to hang
算,Calculate
胡,Hu
总,total
逮,catch
漕,canal
糕,cake
仟,thousand
金,gold
肆,four
醮,Jiao
孙,sun
棉,cotton
翌,next
等,Wait
窦,sinus
粘,stick
槐,Sophora japonica
抛,throw
笔,Pen
料,material
杜,Du
创,create
姑,aunt
温,temperature
言,Word
抻,stretch
艰,difficult
哩,Mile
噜,chatter
柿,persimmon
洋,foreign
毙,shoot
掉,Lose
裁,cut
虾,shrimp
槛,threshold
谗,slander
上,superior
谱,spectrum
歪,crooked
暴,violent
焰,flame
悉,know
眼,Eye
粒,grain
涉,ford
兀,Wu
燮,Xie
茉,Jasmine
卡,Card
胎,fetal
析,analysis
谨,Sincerely
信,letter
饭,meal
瞒,conceal
餐,meal
慰,comfort
嗳,Ai
卦,Gua
楔,wedge
恋,love
睬,pay attention
濑,Seto
抬,lift
腹,belly
惠,benefit
真,real
泳,swimming
热,hot
骥,Ji
掏,dig
有,Have
讳,taboo
蜷,curl up
韧,tough
抡,whirl
脱,take off
瀑,waterfall
摘,pick
离,Leave
啃,bite
易,easy
妒,jealous
狸,raccoon
宰,slaughter
忒,Intuit
族,family
穷,poverty
魂,soul
瞪,stare
汀,Ting
榄,Olive
谭,tan
缄,seal
昨,Yesterday
噬,bite
孤,solitary
瑶,Yao
漆,paint
颓,decadent
苛,Harsh
碳,carbon
绞,twist
姜,ginger
骐,Qi
姥,Grandma
詹,James
卓,Zhuo
寥,very few
蓉,Rong
偿,compensate
媳,daughter-in-law
埃,Egypt
彬,Bin
锥,cone
沐,Mu
迪,Dee
非,No
找,Find
拳,fist
再,Again
烘,bake
缶,pottery
达,reach
藕,lotus root
盾,shield
傧,best man
播,broadcast
矣,carry on
贪,greedy
饼,cake
仲,Zhong
疑,suspect
梓,Azusa
绵,cotton
癌,cancer
威,prestige
樱,cherry
莞,Guan
雕,carved
赠,gift
机,machine
咎,blame
曼,Man
朴,Park
坏,Bad
佬,guy
域,area
忖,guess
恣,wanton
蔵,Kuro
惺,sleepy
又,again
良,good
龄,age
喘,asthma
鲍,abalone
建,establish
瘾,addiction
拍,shoot
乔,Joe
劵,voucher
欲,want
潭,pond
园,garden
拱,arch
当,when
心,Heart
贱,cheap
僵,stiff
炉,furnace
却,but
福,blessing
摔,fall
攸,You
貂,mink
旻,Min
羡,envy
台,tower
殉,martyrdom
口,mouth
愁,worry
坚,strong
诠,interpretation
囍,happy
偕,Kai
沛,Pei
嘱,order
闺,boudoir
魏,Wei
幢,building
臣,minister
戆,stupid
酣,intoxicated
季,season
们,they
渗,Seep
约,about
斗,fight
舒,Shu
豪,Howe
辐,spoke
炷,stick
固,solid
拽,pull
惜,pity
瓶,bottle
踝,ankle
咧,Lie
刊,published
壑,gully
乙,Second
敬,Respectfully
潇,Xiao
坂,saka
睹,see
把,Bundle
仁,Benevolence
拉,pull
撒,spread
忽,suddenly
糊,paste
衬,lining
犁,plow
行,Row
矩,moment
昵,close
呸,Pooh
否,no
绨,Tiny
呛,choke
涣,Huan
望,see
忆,memory
冯,Feng
鬓,Temple
庇,shelter
涮,rinse
词,word
哏,naughty
炫,dazzle
吟,chant
荡,swing
藐,despise
柯,Ke
鲟,sturgeon
劣,inferior
鸟,bird
愈,heal
阐,elucidate
晒,show
肺,lung
述,described
钞,money
逢,meet
虑,consider
屈,Bend
硫,sulfur
梅,plum
岬,cape
腥,fishy
茎,stem
克,gram
谷,Valley
煞,Sha
省,Province
也,also
菇,mushroom
是,Yes
搓,twist
围,around
寄,send
洒,sprinkle
裸,bare
拖,drag
崇,worship
姿,posture
就,At once
欧,Europe
妞,little girl
玖,nine
阵,Array
凖,the
矜,Reserved
烈,strong
珊,Shan
冉,ran
舟,Boat
扣,buckle
顿,pause
扩,expand
晤,meet
存,live
咔,click
西,West
叨,nagging
甚,very
春,spring
仞,Ren
策,Policy
寰,Huan
殷,Yin
截,cut
千,thousand
快,quick
荐,recommend
烂,rotten
驶,drive
帛,silk
囊,bag
戟,halberd
旋,spin
爬,climb
院,hospital
巢,nest
樽,bottle
连,even
官,official
扛,Carry
馁,hungry
董,Dong
应,answer
聂,Nie
朋,friend
燕,swallow
捐,donate
痉,spasm
亟,urgently
沸,boil
舍,Abandon
豆,bean
陷,trap
盒,box
蠢,stupid
啄,peck
池,pool
雏,chicks
你,you
纱,yarn
江,Jiang
磷,phosphorus
知,Know
蝉,cicada
凿,chisel
在,exist
扮,play up
鹰,eagle
镑,pound
蹄,hoof
骰,dice
蛙,frog
呕,vomit
琴,piano
辘,reel
戚,Qi
假,Fake
痿,atrophy
篮,basket
漱,rinse
恩,kindness
辽,Liao
亦,as well as
伤,hurt
塌,collapse
赐,bestow
敏,Sensitive
妖,demon
乌,black
霾,haze
瑭,jade
唉,Ugh
幕,screen
贫,poor
勿,do not
群,group
胸,chest
撕,tear
哟,Yo
灌,fill
盖,cover
祠,temple
臻,Perfect
涩,astringent
牢,prison
腰,waist
俞,Yu
榨,squeeze
莽,reckless
浇,to pour
柺,abduct
剩,left
酗,drunk
泽,Ze
想,think
并,and
咿,babble
爵,Jazz
隼,falcon
燃,burn
混,mix
粥,Porridge
平,flat
朦,deceive
记,remember
标,mark
股,share
歩,walk
饵,bait
延,extend
豺,Jackal
噱,loud laughter
悄,quiet
鲑,salmon
夺,snatch
填,fill
讷,Ner
湛,Cham
雌,female
晔,Ye
闩,latch
酌,discretionary
岩,rock
联,couplet
如,like
贴,paste
宪,constitution
匿,hide
痩,thin
勘,survey
狞,caracal
狮,lion
指,refer to
煲,pot
嘉,Chia
形,shape
兑,against
妃,concubine
链,chain
进,Enter
拌,mix
叉,cross
身,body
哑,dumb
势,Potential
周,week
嘘,hush
过,Pass
凸,convex
窝,nest
暂,temporarily
末,end
劲,strength
天,sky
渊,deep
哞,moo
怂,counsel
鲁,Lu
较,compare
哪,where
摸,touch
煸,stir fry
岂,don't you
证,certificate
滴,drop
册,book
社,society
晦,dark
尼,Ni
龙,dragon
物,thing
挛,Convulsion
翁,Weng
凉,cold
焦,coke
者,By
桐,Tong
啼,cry
汲,draw
熊,Bear
坦,Tank
输,lose
赢,win
臊,smell of urine
迹,trace
比,Compare
润,Run
提,carry
融,melt
揍,beat
背,back
产,Produce
弱,weak
技,technology
生,pregnancy
似,like
甬,Yong
凶,fierce
淘,scouring
功,achievement
菩,Bodhisattva
珠,bead
咳,cough
烹,cooking
单,one
瞟,cast a glance
劫,robbery
藤,rattan
浩,Hao
聊,chat
缆,cable
崔,Cui
抠,pick
模,mold
锲,wedge
蕃,fan
艾,AI
糖,sugar
炮,gun
晴,clear
费,fee
铅,lead
收,receive
契,deed
渥,wow
楼,building
叙,Syria
溃,crash
浓,concentrated
轮,wheel
恒,constant
褪,fade
割,cut
增,increase
盲,blind
遭,suffered
判,sentence
挑,pick
嘛,Well
壁,wall
钠,sodium
洙,soo
闲,idle
夸,boast
控,control
觉,Sleep
来,Come
颧,Zygomatic
鲤,carp
氛,atmosphere
渴,thirsty
影,film
毛,hair
临,Pro
睛,eye
她,she
酿,wine
惯,used
寡,widowed
岛,island
其,That
给,Give
枪,gun
剁,chop
罪,crime
翟,Zhai
霞,Xia
喷,spray
拜,bye
尚,Yet
陆,land
梗,stem
阙,the que
酶,enzyme
颂,Praise
蹟,trace
汤,soup
王,king
祂,he
祈,pray
乱,chaos
讲,speak
斤,catty
健,healthy
娘,mother
躁,impatient
蓓,bei
薛,Xue
张,open
孵,hatch
星,star
沧,cang
惭,ashamed
冽,cold
搧,fan
弊,Disadvantages
交,pay
忙,busy
辉,bright
冬,winter
尾,tail
尧,Yao
纾,relax
护,protect
臂,arm
辞,speech
搔,scratch
白,White
靠,Depend on
淋,shower
旺,prosperous
裱,mount
穿,Put on
颐,Yi
睁,open eyes
沤,steep
拾,pickup
昆,Kun
央,Central
凛,cold
堤,embankment
宛,Wan
编,make up
诱,lure
缝,seam
拙,clumsy
牟,Mu
鸽,pigeon
黎,Lai
蹬,pedal
冀,hope
戈,Ge
阴,Negative
勤,diligent
倾,pour
尊,respect
垢,dirt
气,gas
姨,Aunt
照,According to
坨,lump
顽,stubborn
幽,quiet
律,law
钝,blunt
苺,Berry
尓,Er
叫,Call
最,most
主,host
开,open
腐,Rot
纤,fiber
绘,painted
挥,wield
续,continued
练,practice
刮,shave
杉,fir
玩,Play
稻,rice
间,between
沽,sell
鸡,chicken
捉,catch
蕾,bud
吗,Is it
洛,low
风,wind
丑,ugly
吁,Appeal
捞,fishing
秉,Bing
哲,Philosophy
分,Minute
棚,shed
媚,flattering
咽,pharynx
晃,shake
娟,Juan
跑,run
允,allow
襟,lapel
留,Keep
量,quantity
绀,purple
剃,shave
吹,blow
邻,adjacent
钻,to drill
巴,-bar
浮,float
由,Depend on
啜,sip
辰,Chen
玻,glass
吸,Suck
罢,stop
叛,Rebel
停,stop
攀,climb
化,change
邹,Zou
洪,flood
捍,defend
宜,should
仕,official
秆,stalk
跟,and
轻,light
撇,Skim
那,That
蛆,maggot
击,hit
堇,Sumire
爸,dad
戴,wore
嘞,le
铲,shovel
从,from
屁,fart
错,wrong
希,hope
席,seats
掩,cover up
铸,to cast
侨,Overseas Chinese
弃,abandoned
秧,seedling
佛,Buddha
拢,close
扭,twist
妆,makeup
佣,commission
啦,La
丙,C
寺,temple
赎,redemption
呗,chant
萃,extract
箭,arrow
吠,bark
鲸,whale
咬,bite
锻,forging
镰,sickle
嘀,beep
音,sound
惧,fear
嗣,Heir
时,Time
移,shift
熄,put out
擂,beat
彷,to imitate
忍,Tolerate
岸,shore
诡,sly
脸,Face
田,field
罕,rare
探,Explore
智,wisdom
跩,swagger
察,observe
娑,whirling
布,cloth
佝,rickets
学,study
厄,Er
掬,skim
殇,sad
醒,Awake
懂,Understand
瞌,sleepy
频,frequency
灵,spirit
茹,Ru
冥,deep
努,work hard
呀,ah
彿,Buddha
蒋,Jiang
噗,puff
霸,Tyrant
滤,filter
曝,exposure
彼,he
樊,fan
蹈,dance
跤,wrestle
湾,bay
靖,Jing
呢,Woolen cloth
下,Down
年,year
披,Phi
倘,if
甫,just
笨,stupid
现,now
隔,every other
揭,reveal
絮,fluff
囤,store
钉,nail
暇,leisure
脊,ridge
愉,happy
豌,pea
醛,aldehyde
误,error
疮,sore
竖,vertical
屋,Room
丘,mound
痔,hemorrhoid
猴,monkey
武,Wu
掖,tuck
桥,bridge
芬,Fern
萎,wilt
景,scene
怕,afraid
汪,Wang
铭,Ming
藩,Fan
逆,inverse
赵,Zhao
嬷,ma
糯,Waxy
婶,aunt
俯,bow down
东,East
宵,night
酷,cool
伶,Ling
蛮,quite
袖,sleeve
吐,threw up
违,Violate
溶,dissolve
怠,lazy
瘘,fistula
见,See
蔚,Wei
高,high
氰,Cyanide
局,Bureau
详,detailed
同,same
屡,repeatedly
突,sudden
够,enough
修,build
梳,comb
断,broken
绥,Sui
十,ten
窗,window
庙,temple
唸,read
徽,emblem
邸,mansion
挂,hang
饮,drink
章,chapter
均,all
光,Light
佑,woo
舆,Public opinion
效,effect
窘,embarrassed
振,vibration
柳,willow
磕,knock
翠,emerald
躲,hide
定,Certainly
滋,grow
争,fight
石,stone
桩,pile
绿,green
游,tour
宙,universe
愕,startled
钜,Huge
昔,Xi
摊,booth
粽,Zong
宅,House
准,allow
烧,burn
阔,wide
燥,dry
涂,painted
账,account
镣,shackles
煌,brilliant
屐,clog
嗨,Hi
鹈,pelican
严,strict
膏,paste
黍,Millet
仓,warehouse
皱,wrinkle
邢,Xing
彪,Biao
绊,trip
侧,side
声,Voice
谋,seek
蟹,crab
唠,chatter
净,net
戏,play
芝,Chiba
令,make
半,Half
境,territory
共,common
七,seven
杆,rod
擢,pull out
竞,competition
继,following
害,Harmful
呎,feet
徳,Germany
窜,run away
具,Tool
溜,slip
展,exhibition
含,contain
雍,Yong
睑,eyelid
柚,pomelo
惨,awful
穗,ear
颖,Ying
嗖,Whoosh
衣,Clothes
递,hand over
掼,beat
历,calendar
负,burden
幼,young
讫,finished
闭,close
挫,frustrated
香,fragrant
保,Save
扇,fan
羸,lean
朵,Blossom
灼,burning
撼,shake
低,Low
喔,Oh
暧,Warm
女,Female
寿,life
鲜,fresh
玛,Ma
曹,cao
卫,guard
饿,hungry
苗,Seedling
蔽,shield
世,World
哽,choking
带,bring
哎,Hey
嗷,Aww
予,give
骶,sacral
送,deliver
恐,fear
恕,pardon
簿,book
丽,Korea
摁,Press
泉,spring
荫,shade
斩,cut
色,color
券,coupon
夫,husband
壮,strong
挟,hold
娶,marry
嘎,Ga
党,party
铂,platinum
略,slightly
莓,Berry
葵,sunflower
浴,bath
痰,phlegm
识,knowledge
玑,Ji
爷,grandpa
罩,cover
拮,antagonistic
剂,agent
逼,force
岔,fork
八,Eight
休,stop
桂,Osmanthus
运,transport
四,Four
勉,Mian
环,ring
巳,Si
雪,Snow
或,or
枢,pivot
蹋,step on
倔,stubborn
嘟,beep
愿,willing
闷,stuffy
遍,all over
请,Please
辑,edit
满,Full
奚,Xi
撵,drive out
对,right
碎,broken
旁,beside
迟,Late
纳,accept
抗,anti-
部,department
驼,camel
兴,prosper
钦,Chin
邵,Shao
稿,draft
避,avoid
鹏,Peng
彻,thorough
估,estimate
框,frame
大,Big
组,Group
原,Original
抵,arrived
炯,Jiong
啧,Tsk
萨,sa
厚,thick
露,dew
漏,leak
销,pin
蝶,butterfly
专,Specialize
禄,salary
箫,flute
镗,boring
慎,cautious
触,touch
瞳,Hitomi
挖,dig
松,loose
太,too
逃,escape
桔,orange
窄,narrow
全,Complete
巧,skillful
悼,Mourning
紧,tight
殃,calamity
嘲,ridicule
凝,condensate
绒,velvet
蹉,wasted
祝,wish
榻,couch
蟒,python
怀,bosom
伏,Volt
裆,crotch
粗,thick
邱,Qiu
嘈,noisy
纹,pattern
将,Will
厦,mansion
什,Varied
憎,Hate
涓,trickle
接,catch
贩,sell
哨,post
勋,Hoon
土,earth
杖,rod
毫,milliseconds
忿,angry
拼,spell
闾,Lu
尸,corpse
片,piece
励,reward
蝇,fly
反,opposite
灾,disaster
暖,warm
峻,Jun
腻,greasy
角,horn
监,Supervise
异,different
侃,Kan
倌,groom
欠,owe
啤,beer
架,shelf
滩,beach
倩,Qian
执,hold
寅,Yin
纷,in succession
萧,Xiao
